timestamp,open,high,low,close,volume,turnover
2025-10-13 08:00:00,115349.9,115365.7,115125.0,115264.7,301.84,34784021.6205
2025-10-13 08:15:00,115264.7,115363.0,115083.7,115236.5,284.624,32794734.4953
2025-10-13 08:30:00,115236.5,115389.9,115127.7,115160.0,231.172,26649700.4877
2025-10-13 08:45:00,115160.0,115404.4,115106.1,115208.9,274.015,31584149.1214
2025-10-13 09:00:00,115208.9,115214.3,114661.8,114784.5,965.226,110911084.8818
2025-10-13 09:15:00,114784.5,114962.2,114755.0,114909.8,476.151,54697412.2914
2025-10-13 09:30:00,114909.8,115148.2,114854.2,115070.1,367.847,42311524.9909
2025-10-13 09:45:00,115070.1,115149.2,115037.1,115070.4,196.512,22616517.0913
2025-10-13 10:00:00,115070.4,115118.9,114888.0,114951.1,224.206,25780530.446
2025-10-13 10:15:00,114951.1,115017.9,114776.0,114853.0,228.647,26271613.3607
2025-10-13 10:30:00,114853.0,114900.0,114689.7,114749.7,322.967,37072542.0599
2025-10-13 10:45:00,114749.7,114933.5,114710.0,114764.0,268.473,30822570.2989
2025-10-13 11:00:00,114764.0,114764.0,114111.0,114516.8,2821.701,322797273.7514
2025-10-13 11:15:00,114516.8,114580.2,113526.4,113577.9,2616.977,298164627.7856
2025-10-13 11:30:00,113577.9,114171.9,113577.9,114042.1,2118.887,241524017.8813
2025-10-13 11:45:00,114042.1,114339.9,113929.8,114139.1,941.618,107480507.4009
2025-10-13 12:00:00,114139.1,114440.0,113875.0,114318.5,1640.589,187230301.3361
2025-10-13 12:15:00,114318.5,114340.7,114150.0,114310.1,436.646,49882018.7598
2025-10-13 12:30:00,114310.1,114633.3,114204.3,114478.0,794.21,90896254.2076
2025-10-13 12:45:00,114478.0,114770.9,114250.4,114360.3,1931.732,221213826.4391
2025-10-13 13:00:00,114360.3,114650.0,114189.7,114310.8,852.832,97580894.9648
2025-10-13 13:15:00,114310.8,114510.3,114150.9,114293.6,795.647,90947788.1917
2025-10-13 13:30:00,114293.6,115517.9,114267.5,114910.9,6226.86,715773128.3548
2025-10-13 13:45:00,114910.9,115373.9,114379.2,115303.0,1766.247,202940775.8883
2025-10-13 14:00:00,115303.0,115426.6,114820.0,114904.8,1317.327,151707121.7444
2025-10-13 14:15:00,114904.8,115020.0,114115.5,114270.0,2186.35,250185104.1748
2025-10-13 14:30:00,114270.0,114750.0,113924.5,114494.0,2880.196,329096402.803
2025-10-13 14:45:00,114494.0,114560.0,113707.1,113976.5,1756.517,200225165.1167
2025-10-13 15:00:00,113976.5,114549.3,113909.7,114355.9,1708.865,195253993.4633
2025-10-13 15:15:00,114355.9,114535.6,114125.0,114189.6,749.044,85615456.1637
2025-10-13 15:30:00,114189.6,114494.9,114061.4,114126.1,594.666,67918313.6644
2025-10-13 15:45:00,114126.1,114686.8,114126.1,114267.5,811.393,92833467.5156
2025-10-13 16:00:00,114267.5,115150.0,114207.5,114853.2,2250.813,258371827.9639
2025-10-13 16:15:00,114853.2,114917.1,114333.0,114379.1,979.68,112266388.4836
2025-10-13 16:30:00,114379.1,114536.4,114280.0,114332.9,663.279,75862892.1717
2025-10-13 16:45:00,114332.9,114750.0,114290.5,114600.0,482.53,55253299.8471
2025-10-13 17:00:00,114600.0,114944.7,114400.0,114528.0,1177.295,134968047.7112
2025-10-13 17:15:00,114528.0,114645.5,114391.6,114498.6,772.393,88465577.8983
2025-10-13 17:30:00,114498.6,114658.7,114364.2,114408.6,532.486,60956505.9987
2025-10-13 17:45:00,114408.6,115027.8,114150.3,115001.6,903.166,103420561.1045
2025-10-13 18:00:00,115001.6,115081.6,114668.5,114712.1,933.988,107285450.5081
2025-10-13 18:15:00,114712.1,115297.2,114711.0,115229.9,962.901,110851189.3747
2025-10-13 18:30:00,115229.9,115337.1,114918.5,115150.0,621.587,71540350.3479
2025-10-13 18:45:00,115150.0,115238.9,114955.0,115103.6,323.81,37268192.803
2025-10-13 19:00:00,115103.6,115255.5,115021.0,115234.3,342.519,39432436.2685
2025-10-13 19:15:00,115234.3,115706.9,115159.1,115559.5,1919.039,221668095.2655
2025-10-13 19:30:00,115559.5,115677.8,115430.7,115660.4,526.602,60833156.4063
2025-10-13 19:45:00,115660.4,115855.3,115561.0,115750.0,1020.3,118080495.1788
2025-10-13 20:00:00,115750.0,115838.8,115491.0,115603.7,521.234,60305014.1957
2025-10-13 20:15:00,115603.7,115630.3,115425.1,115447.0,1081.629,124953887.9963
2025-10-13 20:30:00,115447.0,115517.9,115344.6,115416.9,304.824,35184134.8736
2025-10-13 20:45:00,115416.9,115696.2,115406.0,115660.1,303.94,35111788.7753
